Key	Simplified Chinese	English
info.half-barrel.desc	"用于运输液体的小型木桶。\n\n这些小桶能够用于运输如橙汁和其他可作为后续生产原材料的液体。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $4/个</b></indent>\n\n<i><indent=30><i>根深蒂固的喜好无法被动摇，男人喜欢啤酒并非过错。</i></indent>\n<indent=40>——奥利弗·温德尔·霍姆斯</indent>"	"Small, wooden barrels for liquid transport.\n\nThese small barrels are for transporting things like juice and other raw materials for later manufacture.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $4 each</b></indent>\n\n<i><indent=30><i>Deep-seated preferences cannot be argued about — you cannot argue a man into liking a glass of beer.</i></indent>\n<indent=40>—Oliver Wendell Holmes</indent>"
info.corn-syrup.icon	"<sprite name=""res corn-syrup"">"	"<sprite name=""res corn-syrup"">"
info.corn-syrup.name	玉米糖浆	Corn Syrup
info.corn-syrup.desc	"含糖量高，易于蒸馏。\n\n玉米糖浆的工业化生产兴起于1920年左右。由于易于发酵和蒸馏，它成为了制作中性酒精的关键原料。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $4/桶</b></indent>\n\n<i><indent=30>上帝啊，请将我放在铁砧上。敲击我，将我制成一把撬棍。让我撬开残破的旧墙，让我抬起松动的地基。</i></indent>\n<indent=40>—卡尔·桑德堡</indent>"	"High in sugars and easy to distill.\n\nIndustrial production of corn syrup is a fairly new thing in the 1920s, but the ease with which it can be fermented and distilled makes it a key ingredient in manufacture of neutral alcohol.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $4 per barrel</b></indent>\n\n<i><indent=30>Lay me on an anvil, O God. Beat me and hammer me into a crowbar. Let me pry loose old walls. Let me lift and loosen old foundations.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.grapes.icon	"<sprite name=""res grapes"">"	"<sprite name=""res grapes"">"
info.grapes.name	葡萄	Grapes
info.grapes.desc	"学名：Vitis vinifera。\n\n藤蔓类水果。人类种植葡萄用于酿酒的历史可以追溯到千年之前。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $2/箱</b></indent>\n\n<i><indent=30><i>不要期待未成熟的葡萄</i></indent>\n<indent=40>—霍拉斯</indent>"	"Vitis vinifera\n\nFruit of the vine. Grapes have been cultivated by humans for millennia chiefly for use in wine production.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $2 per crate</b></indent>\n\n<i><indent=30><i>Don't long for the unripe grape.</i></indent>\n<indent=40>—Horace</indent>"
info.apples.icon	"<sprite name=""res apples"">"	"<sprite name=""res apples"">"
info.apples.name	苹果	Apples
info.apples.desc	"学名：Malus domestica。\n\n苹果与欧洲殖民者一起来到新大陆并不断发展。美国人用苹果生产出了许多东西——许多含有酒精的东西。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $1/蒲式耳</b></indent>\n\n<i><indent=30><i>苹果就是水果中最尊贵的存在。</i></indent>\n<indent=40>—亨利·大卫·梭罗</indent>"	"Malus domestica\n\nApples came to the New World with European colonists and thrived. Americans made many things - many alcoholic things - with apples.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $1 per bushel</b></indent>\n\n<i><indent=30><i>Surely the apple is the noblest of fruits.</i></indent>\n<indent=40>—Henry David Thoreau</indent>"
info.citrus.icon	"<sprite name=""res citrus"">"	"<sprite name=""res citrus"">"
info.citrus.name	柑橘类水果	Citrus Fruit
info.citrus.desc	"拥有多种用途的诱人水果。\n\n柑橘拥有多种用途。它能够提高鸡尾酒的风味与外观。含油的果皮能够用于多种饮料和酒精产品。\n\n\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $2/箱</b></indent>\n\n<i><indent=30><i>智慧的你站在长满了柠檬树的地方，树叶的影子与橙子的反光在你身上交汇……那里，那里，我愿欣然与你一起飞行，我的爱人！</i></indent>\n<indent=40>—约翰·沃尔夫冈·冯·歌德</indent>"	"Appealing fruit for a variety of uses\n\nCitrus has many uses. It can improve cocktails in both flavor and appearance. It's oil-laden rinds can also be used in a wide variety of infusions and other types of alcohol production.\n\n\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $2 per crate</b></indent>\n\n<i><indent=30><i>Knowest thou the land where the lemon-trees flourish, where amid the shadowed leaves the golden oranges glisten...Thither, thither, fain would I fly with thee, O my beloved!</i></indent>\n<indent=40>—Johann Wolfgang von Goethe</indent>"
info.fruit-other.icon	"<sprite name=""res fruit"">"	"<sprite name=""res fruit"">"
info.fruit-other.name	水果	Fruit
info.fruit-other.desc	"由于含糖量较高，它应该会发酵。\n\n城市各处的市场、批发商和其他商贩出售各式各样的水果。只要拥有正确的专业知识，这些普通的浆果和核果就能通过蒸馏被制成各种酒精饮料或其他水果酒。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $4/蒲式耳</b></indent>\n\n<i><indent=30><i>给我多汁的秋季水果，来自果园的它通红且饱满。</i></indent>\n<indent=40>—沃尔特·惠特曼</indent>"	"As long as it contains a lot of sugar, it should ferment.\n\nFruit of various types is available by the bushel from markets, wholesalers and other vendors all over the city. With the right expertise, these humble berries and drupes can be distilled into a variety of alcoholic beverages or used to make a wide variety of fruity infusions.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $4 per bushel</b></indent>\n\n<i><indent=30><i>Give me juicy autumnal fruit, ripe and red from the orchard.</i></indent>\n<indent=40>—Walt Whitman</indent>"
info.wheat.icon	"<sprite name=""res wheat"">"	"<sprite name=""res wheat"">"
info.wheat.name	小麦	Wheat
info.wheat.desc	"小麦\n\n那些缺乏想象力的人只会将它们用于制作烘焙食品、面食或用麦芯制成精面粉。但拥有知识的人却能意识到，这种陪伴了人类数千年的谷物，其实有着被制成<sprite name=""res whiskey-barrel""><link=""whiskey-barrel"">威士忌</link>和其他美味饮料的潜力。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $4/袋</b></indent>\n\n<i><indent=30><i>如果你能理解一粒小麦，你就会因惊奇而死去。</i></indent>\n<indent=40>—马丁·路德</indent>"	"Triticum aestivum\n\nThose of limited imagination only see future baked goods, pasta or fine flour in the humble wheat berry. But those with knowhow realize that this cereal that has accompanied humanity for millennia has the potential to be turned into <sprite name=""res whiskey-barrel""> <link=""whiskey-barrel"">whiskey</link> and other luscious liquors.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $4 per sack</b></indent>\n\n<i><indent=30><i>IF you could understand a single grain of wheat you would die of wonder.</i></indent>\n<indent=40>—Martin Luther</indent>"
info.rye.icon	"<sprite name=""res rye"">"	"<sprite name=""res rye"">"
info.rye.name	黑麦	Rye
info.rye.desc	"黑麦\n\n自新石器时代以来，人类一直在种植黑麦。从欧洲的德国，一直到俄罗斯北部，许多以黑麦为食的国家都会大量食用这种耐寒谷物。它还易于生芽，能够被制成黑麦啤酒或<sprite name=""res whiskey-barrel""><link=""whiskey-barrel"">威士忌</link>。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $3/袋</b></indent>\n\n<i><indent=30><i>农民一定乐观，不然他就做不了农民。</i></indent>\n<indent=40>—威尔·罗杰斯</indent>"	"Secale cereale\n\nSince Neolithic times, humans have cultivated rye. This hardy cereal features heavily in the cuisines of rye belt countries of Europe that stretch from Germany into northern Russia. It also is easily malted and then turned into things like rye beer or <sprite name=""res whiskey-barrel""> <link=""whiskey-barrel"">whiskey</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per sack</b></indent>\n\n<i><indent=30><i>The farmer has to be an optimist or he wouldn’t still be a farmer.</i></indent>\n<indent=40>—Will Rogers</indent>"
info.steel-barrels.icon	"<sprite name=""res steel-barrels"">"	"<sprite name=""res steel-barrels"">"
info.steel-barrels.name	钢桶	Steel Barrels
info.steel-barrels.desc	"用于盛放高温、高压或两者兼具的液体。\n\n虽然木桶用途广泛，但它们无法盛放高温或高压的液体。但钢桶与之恰恰相反，在面对上述液体时表现出色。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $5/桶</b></indent>\n\n<i><indent=30><i>上帝啊，请将我放在铁砧上。敲击我，将我制成一把撬棍。让我撬开残破的旧墙，让我抬起松动的地基。</i></indent>\n<indent=40>—卡尔·桑德堡</indent>"	"For applications that require heat, pressure or both.\n\nBarrels made from wood have a wide variety of uses, but they react poorly to the application of heat and can't contain pressurized liquids. Steel barrels, by contrast, excel in those areas.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per barrel</b></indent>\n\n<i><indent=30><i>Lay me on an anvil, O God. Beat me and hammer me into a crowbar. Let me pry loose old walls. Let me lift and loosen old foundations.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.beer-keg.icon	"<sprite name=""res beer-keg"">"	"<sprite name=""res beer-keg"">"
info.beer-keg.name	桶装啤酒	Beer Kegs
info.beer-keg.desc	"将啤酒装入钢桶中，能够节约一定的存储和运输空间。\n\n瓶装啤酒，虽然利润率更高，但却需要更大的存储空间，而且并不便于携带，还容易招来大量关注。但桶装啤酒不仅能够解决上述多个问题，还能消除数量巨大的空瓶需求。总而言之，桶装更有利于酿造。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $120/桶</b></indent>\n\n<i><indent=30><i>我相信人民。只要获得真相，人们就能面对任何国家危难。重要的是要令他们获得真相，以及啤酒。</i></indent>\n<indent=40>—亚伯拉罕·林肯</indent>"	"Beer placed in steel barrels for more economical use of storage and transport space.\n\nBottled beer, while profitable, requires a large space to store and a lot of space in your store rooms. Then it's fairly cumbersome to transport and attracts a lot of attention. Kegs, however, solve many of those problems and eliminate the need for rather immense quantities of bottles. All in all, a better solution for brewing.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $120 per barrel</b></indent>\n\n<i><indent=30><i>I am a firm believer in the people. If given the truth, they can be depended upon to meet any national crisis. The great point is to bring them the real facts, and beer.</i></indent>\n<indent=40>—Abraham Lincoln</indent>"
info.whiskey-bottled.icon	"<sprite name=""res whisky"">"	"<sprite name=""res whisky"">"
info.whiskey-bottled.name	瓶装威士忌	Bottled Whiskey
info.whiskey-bottled.desc	"这种使用大麦、黑麦或手头其他东西酿造的黑色液体在色香味上表现得都非常不错。\n\n威士忌的酿造和饮用在大西洋两岸都有悠久的历史，人气非常火爆，在禁酒令颁布之前也是如此。你可以通过临时威士忌蒸馏设备生产少量瓶装威士忌。如果你能弄到一些<sprite name=""res whiskey-barrel""><link=""whiskey-barrel"">桶装威士忌</link>，就可以通过装瓶业务生产瓶装威士忌。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $45/箱</b></indent>\n\n<i><indent=30><i>祝欧石楠、猎人、狐狸和圣坛能够永葆健康。如果你决定远行，请朝着死亡前进；如果你付出爱情，请把它交到女人心中；如果你进行思考，请深谋远虑。如果你想要喝酒，请与我一同举杯。</i></indent>\n<indent=40>—爱尔兰祝酒词</indent>"	"Dark liquor made from barley or rye or whatever you have on hand to make it look and tast right.\n\nWhiskey making and drinking has a long history on both sides of the Atlantic. It's rightly very popular. Or was before Prohibition. You can get small production going in bottles at a makeshift whiskey still. If you get your hands on some <sprite name=""res whiskey-barrel""> <link=""whiskey-barrel"">whiskey barrels</link>, you can create bottled whiskey at a bottling operation.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $45 per case</b></indent>\n\n<i><indent=30><i>Seo sláinte an tséitéara, an ghadaí, an trodaí, agus an óltóra! Má dhéanann tu séitéireacht, go ndéana tú séitéireacht ar an mbás. Má ghoideann tú, go ngoide tú croí mná; Má throideann tú, go dtroide tú i leith do bhráthar. Agus má ólann tú, go n-óla tú liom féin.</i></indent>\n<indent=40>—Irish toast</indent>"
